idcontinent,namecontinent,idregion,nameregion,idcountry,nom
3,Asia,22,Southern and Central Asia,IND,India                                               
1,Africa,8,Eastern Africa,IOT,British Indian Ocean Territory                      
4,Europe,4,British Islands,IRL,Ireland                                             
3,Asia,22,Southern and Central Asia,IRN,Iran                                                
3,Asia,14,Middle East,IRQ,Iraq                                                
4,Europe,15,Nordic Countries,ISL,Iceland                                             
3,Asia,14,Middle East,ISR,Israel                                              
4,Europe,23,Southern Europe,ITA,Italy                                               
5,North America,5,Caribbean,JAM,Jamaica                                             
3,Asia,14,Middle East,JOR,Jordan                                              
3,Asia,9,Eastern Asia,JPN,Japan                                               
3,Asia,22,Southern and Central Asia,KAZ,Kazakstan                                           
1,Africa,8,Eastern Africa,KEN,Kenya                                               
3,Asia,22,Southern and Central Asia,KGZ,Kyrgyzstan                                          
3,Asia,20,Southeast Asia,KHM,Cambodia                                            
6,Oceania,12,Micronesia,KIR,Kiribati                                            
5,North America,5,Caribbean,KNA,Saint Kitts and Nevis                               
3,Asia,9,Eastern Asia,KOR,South Korea                                         
3,Asia,14,Middle East,KWT,Kuwait                                              
3,Asia,20,Southeast Asia,LAO,Laos                                                
3,Asia,14,Middle East,LBN,Lebanon                                             
1,Africa,24,Western Africa,LBR,Liberia                                             
1,Africa,17,Northern Africa,LBY,Libyan Arab Jamahiriya                              
5,North America,5,Caribbean,LCA,Saint Lucia                                         
4,Europe,25,Western Europe,LIE,Liechtenstein                                       
3,Asia,22,Southern and Central Asia,LKA,Sri Lanka                                           
1,Africa,21,Southern Africa,LSO,Lesotho                                             
4,Europe,3,Baltic Countries,LTU,Lithuania                                           
4,Europe,25,Western Europe,LUX,Luxembourg                                          
